strategy,breakout_score,topic_confidence_score,article_title,article_url,source_domain,domain_trust_score,matched_topics,strategy_assignment_reasoning,topic_match_reasoning,article_snippet,source_topic,timestamp,community,tags,thought_process_determining_topic,classification_reason
Reactor,0.6,0.9,"Retirement Planning: News, Features, Analysis",https://www.kiplinger.com/retirement/retirement-planning,kiplinger.com,1,['Retirement planning'],Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,Perfect match for retirement planning as a news hub but generic nature and broad related queries indicate steady rather than explosive interest.,"News, insights and expert analysis on retirement planning from the team at Kiplinger.",Retirement planning,2025-07-30T14:14:53,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,0.9,The 10 worst U.S. states to retire—6 are in the South,https://www.cnbc.com/2025/07/26/worst-us-states-to-retire-bankrate.html,cnbc.com,1,['Best states retire'],Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,Excellent match for best states to retire topic with high breakout potential given the specific 2025-focused queries and strong search volume for state retirement rankings.,"Factors like affordability and weather may make these states unattractive to retirees, but they could be right for you based on your...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,0.9,The best states to retire for taxes,https://www.fidelity.com/learning-center/personal-finance/best-states-to-retire-for-taxes,fidelity.com,1,['Best states retire'],Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,Strong match for best states retire with tax angle and high breakout score from trending queries like 'best states to retire in 2025' indicating immediate relevance.,"What are the best states to retire for taxes on retirement withdrawals? Nine states have no income tax. These are Alaska, Florida, Nevada, New...",Best states retire,2025-07-30T14:15:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.6,0.8,Want To Retire at 65? See if You Can Answer These Five ...,https://www.kiplinger.com/retirement/happy-retirement/want-to-retire-at-65-see-if-you-can-answer-these-five-questions,kiplinger.com,1,['Retirement income'],Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,Good match for retirement income topic with practical focus but related queries show steady rather than explosive search interest.,"If your retirement income comes from a traditional 401(k) or IRA, pension, annuity, short-term capital gains, bond income, or non-qualified dividends, it will ...",Retirement income,2025-07-30T14:15:31,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,0.9,Retirement,https://smartasset.com/retirement/articles,smartasset.com,1,['Retirement income'],Strong match for retirement income with Social Security focus and moderate breakout potential from queries like 'social security retirement'.,Strong match for retirement income with Social Security focus and moderate breakout potential from queries like 'social security retirement'.,"July 29, 2025 Knowing what the average Social Security check is at age 64 can help you decide when to retire and create a plan for your income in retirement.",Retirement income,2025-07-30T14:15:31,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.5,0.9,Georgia Inheritance Laws: What You Should Know,https://smartasset.com/estate-planning/georgia-inheritance-laws,smartasset.com,1,['Inheritance'],Perfect match for inheritance topic with Georgia-specific laws but related queries suggest steady interest without major breakout indicators.,Perfect match for inheritance topic with Georgia-specific laws but related queries suggest steady interest without major breakout indicators.,"In this detailed guide of Georgia inheritance laws, we break down intestate succession, probate, taxes, what makes a will valid and more.",Inheritance,2025-07-30T14:15:48,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,1.0,Estate and inheritance tax,https://www.bogleheads.org/wiki/Estate_and_inheritance_tax,bogleheads.org,1,['Inheritance'],Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,Direct match on inheritance tax content with moderate search interest including trending queries like 'inheritance 2025'.,"An inheritance tax is assessed on inherited assets and payable by the heirs. There is no federal inheritance tax, only a federal estate tax. At the state level, ...",Inheritance,2025-07-30T14:15:48,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,1.0,A Matter Of Time: Estate Planning And Watch Collecting,https://www.forbes.com/sites/matthewerskine/2025/07/24/a-matter-of-time-estate-planning-and-watch-collecting/,forbes.com,1,['Estate planning'],Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,Perfect match on estate planning topic with high-value professional service queries indicating strong commercial intent.,"Watches continue to hold significant financial and sentimental value, and may be one of the best performing investments in the years to...",Estate planning,2025-07-30T14:16:12,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.6,1.0,The Retirement Metric That Matters More Than Your 401(k) ...,https://www.investopedia.com/most-important-retirement-number-11776104,investopedia.com,1,['401k'],Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Clear 401k content match with solid but not exceptional search momentum in related retirement planning queries.,Withdrawals made from a 401(k) or traditional IRA are taxed as income at your tax bracket at the time of the withdrawal. The Replacement Ratio You Actually Need.,401k,2025-07-30T14:16:29,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,1.0,What to Consider Before Rolling Your 401(k) into a Roth IRA,https://www.kiplinger.com/retirement/roth-iras/what-to-consider-before-rolling-your-401k-into-a-roth-ira,kiplinger.com,1,['IRA'],Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,Strong IRA topic match with good search interest across Roth and traditional IRA conversion queries.,"Converting at least some of an old 401(k) to a Roth IRA can offer long-term tax benefits and flexibility, especially if you anticipate a higher tax bracket.",IRA,2025-07-30T14:16:52,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,1.0,Roth IRA vs. brokerage account: What's the difference?,https://www.fidelity.com/learning-center/smart-money/roth-ira-vs-brokerage-account,fidelity.com,1,['Roth IRA'],Perfect Roth IRA match with high search volume and specific actionable queries like contribution limits and comparisons.,Perfect Roth IRA match with high search volume and specific actionable queries like contribution limits and comparisons.,Roth IRAs and brokerage accounts could be great ways to help hit different financial goals. Here's how.,Roth IRA,2025-07-30T14:17:07,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,1.0,Retirement Tax Bombs: Roth Conversions May Cut the ...,https://www.kiplinger.com/retirement/roth-iras/retirement-tax-bombs-how-roth-conversions-may-cut-the-blue-wire,kiplinger.com,1,['Roth IRA'],Perfect Roth conversion content match with high-value tax strategy focus and strong related search interest.,Perfect Roth conversion content match with high-value tax strategy focus and strong related search interest.,"By converting tax-deferred accounts to a Roth IRA, you enjoy tax-free growth, avoid taxes on withdrawals, avoid RMDs, and may be able to prevent your heirs from ...",Roth IRA,2025-07-30T14:17:07,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.6,1.0,A $520 Billion Retirement System Comes Under Fire in Western Canada,https://www.bloomberg.com/news/articles/2025-07-29/alberta-eyes-pension-split-from-canada-in-push-for-autonomy,bloomberg.com,1,['Pension'],Clear pension topic match but Canadian-specific content with moderate search interest in general pension queries.,Clear pension topic match but Canadian-specific content with moderate search interest in general pension queries.,"In the span of eight months, the pension manager for Canada's wealthiest province fired its entire board, shuttered new offices in Singapore...",Pension,2025-07-30T14:17:22,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.8,8 Money Moves to Make Before You Retire,https://www.aarp.org/money/retirement/financial-steps-before-you-retire/,aarp.org,1,['Investment safety retirees'],"Pre-retirement financial planning content fits target audience well, though broader scope reduces confidence and no trending data available.","Pre-retirement financial planning content fits target audience well, though broader scope reduces confidence and no trending data available.","In your final months at work, review your savings, take advantage of workplace benefits, pay off debt and make other financial moves for retirement.",Investment safety retirees,2025-07-30T14:17:38,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.9,I Want to Retire Next Year. Should I Keep My Money In the ...,"https://www.kiplinger.com/investing/i-want-to-retire-next-year-should-i-keep-my-money-in-the-stock-and-bond-markets#:~:text=If%20you're%20retiring%20at,to%20120%20minus%20your%20age.",kiplinger.com,1,['Investment safety retirees'],"Retirement-specific asset allocation advice perfectly matches investment safety for retirees topic, but no trending queries to elevate strategy.","Retirement-specific asset allocation advice perfectly matches investment safety for retirees topic, but no trending queries to elevate strategy.","If you're retiring at 65, you should have 35% invested in stocks and 65% invested in bonds or cash. With life expectancies getting longer, 120 minus your age has become a common rule, as well. It might be best to think of it as a range of 100 to 120 minus your age.",Investment safety retirees,2025-07-30T14:17:38,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.95,What Is the Average Social Security Check at Age 70?,https://smartasset.com/retirement/average-social-security-check-at-age-70,smartasset.com,1,['Delayed retirement'],"Social Security benefits at age 70 directly addresses delayed retirement strategy with high relevance, but no trending data available.","Social Security benefits at age 70 directly addresses delayed retirement strategy with high relevance, but no trending data available.","If you wait until age 70 to begin receiving Social Security, you can benefit from delayed retirement credits. Here's the average.",Delayed retirement,2025-07-30T14:18:33,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.2,0.0,Trump says Friday tariff deadline 'will not be extended',https://www.cnbc.com/2025/07/30/trump-trade-august-tariff-deadline.html,cnbc.com,1,[],"Political tariff content doesn't match estate planning topics, and related queries show general 'will' searches unrelated to estate planning.","Political tariff content doesn't match estate planning topics, and related queries show general 'will' searches unrelated to estate planning.","President Donald Trump said that he will not extend the deadline for his ""reciprocal"" tariffs on dozens of countries to restart.",Will,2025-07-30T14:18:50,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.4,0.3,Blackstone Scraps Mortgage Trust Call After Deadly NYC Shooting,https://www.bloomberg.com/news/articles/2025-07-30/blackstone-scraps-mortgage-trust-call-after-deadly-nyc-shooting,bloomberg.com,1,['Trust'],"Mentions mortgage trust but focuses on corporate news rather than estate planning trusts, with related queries showing mixed trust-related interest.","Mentions mortgage trust but focuses on corporate news rather than estate planning trusts, with related queries showing mixed trust-related interest.",Blackstone Inc. canceled an earnings call for a mortgage trust after one of its top real estate executives was killed in Monday's shooting...,Trust,2025-07-30T14:19:09,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.8,0.95,6 Key Alternative Investments to Consider for Your Legacy Plan,https://www.investopedia.com/alternative-investments-for-your-legecy-plan-11727493,investopedia.com,1,['Legacy planning'],"Perfect match for legacy planning with alternative investments focus, and related queries show strong specific interest in legacy planning topics.","Perfect match for legacy planning with alternative investments focus, and related queries show strong specific interest in legacy planning topics.","Alternative investments such as private equity, real estate, hedge funds, fine art, collectibles, and commodities offer opportunities for growth...",Legacy planning,2025-07-30T14:19:43,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.0,Entrepreneurs,https://www.forbes.com/entrepreneurs/,forbes.com,1,[],Generic entrepreneurs content doesn't specifically address senior entrepreneurship and lacks any trending query data.,Generic entrepreneurs content doesn't specifically address senior entrepreneurship and lacks any trending query data.,Forbes is a leading source for reliable news and updated analysis on Entrepreneurs. Read the breaking Entrepreneurs coverage and top headlines on ...,Senior entrepreneurship,2025-07-30T14:20:35,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.3,0.95,The Best Places To Retire Abroad In 2025,https://www.forbes.com/sites/williampbarrett/2025/07/19/the-best-places-to-retire-abroad-in-2025/,forbes.com,1,['Expat retirement'],"Strong match for expat retirement topic with clear focus on retiring abroad, but lacks Google Trends data to indicate significant search momentum.","Strong match for expat retirement topic with clear focus on retiring abroad, but lacks Google Trends data to indicate significant search momentum.","More Americans are retiring abroad in search of lower costs and less toxic politics. Here are recommended spots around the world,...",Expat retirement,2025-07-30T14:22:10,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.3,0.75,One in Three Americans Eyeing Cheaper Retirement ...,https://www.investopedia.com/americans-eyeing-cheaper-retirement-overseas-11741204,investopedia.com,1,['Expat retirement'],"Partial match for expat retirement based on Americans seeking cheaper retirement abroad, but incomplete snippet and no related queries limit assessment.","Partial match for expat retirement based on Americans seeking cheaper retirement abroad, but incomplete snippet and no related queries limit assessment.",U.S. citizens,Expat retirement,2025-07-30T14:22:10,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,0.9,Trump Tax Plan: Will Social Security Taxes Get Cut?,https://smartasset.com/taxes/trump-no-tax-on-social-security,smartasset.com,1,['Tax planning retirement'],"Strong match for tax planning retirement with timely Trump tax plan content, backed by related queries showing active search interest.","Strong match for tax planning retirement with timely Trump tax plan content, backed by related queries showing active search interest.",Trump's One Big Beautiful Act offers a temporary $6000 tax deduction for seniors aged 65 and older. Here's what you need to know.,Tax planning retirement,2025-07-30T14:22:27,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Reactor,0.7,0.85,Is Your Pension Considered Earned Income? Tax Planning ...,https://smartasset.com/retirement/is-your-pension-considered-earned-income-tax-planning-rules,smartasset.com,1,['Tax planning retirement'],"Good match addressing pension income tax classification for retirement planning, with related queries supporting moderate search momentum.","Good match addressing pension income tax classification for retirement planning, with related queries supporting moderate search momentum.","Pension income is generally not classified as earned income for tax purposes. Earned income primarily consists of wages, salaries and tips.",Tax planning retirement,2025-07-30T14:22:27,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.85,0.95,AARP Advocates for Fair Treatment of Older Workers,https://www.aarp.org/advocacy/fighting-age-discrimination-in-workforce-2025/,aarp.org,1,['Age discrimination'],Strong match on age discrimination topic with high-volume legal queries indicating active search interest for actionable content.,Strong match on age discrimination topic with high-volume legal queries indicating active search interest for actionable content.,Workers 75 and older are the fastest-growing age group in the workforce. AARP urges Congress to pass legislation to keep age discrimination...,Age discrimination,2025-07-30T14:22:47,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Sniper,0.85,0.85,Workplace Ageism Is Hurting Employees And Businesses Alike,https://www.forbes.com/sites/lizelting/2025/01/30/workplace-ageism-is-hurting-employees-and-businesses-alike/,forbes.com,1,['Age discrimination'],Clear age discrimination focus from authoritative source with identical high-interest legal search queries suggesting strong content opportunity.,Clear age discrimination focus from authoritative source with identical high-interest legal search queries suggesting strong content opportunity.,"Research reveals that workers of all ages face ageism and age discrimination in today's workplace, and it's holding businesses and employees...",Age discrimination,2025-07-30T14:22:47,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.85,You May Not Want to Downsize in Retirement: Here's Why,https://www.kiplinger.com/retirement/retirement-planning/you-may-not-want-to-downsize-in-retirement-heres-why,kiplinger.com,1,['Downsizing retirement'],Perfect topic match on retirement downsizing but lacks related search queries indicating limited current search momentum.,Perfect topic match on retirement downsizing but lacks related search queries indicating limited current search momentum.,"If your children have grown and live far away, downsizing could create financial and logistical challenges that prevent them from visiting as...",Downsizing retirement,2025-07-30T14:23:01,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.9,Is Now a Bad Time to Downsize?,https://www.aarp.org/money/personal-finance/downsize-home-in-retirement.html,aarp.org,1,['Downsizing retirement'],Strong downsizing retirement match with clear financial focus but no trending queries suggest low immediate search interest.,Strong downsizing retirement match with clear financial focus but no trending queries suggest low immediate search interest.,"Downsizing to a smaller home, condominium or apartment shortly before or in retirement can reduce your housing costs, free up cash and lessen the burden of ...",Downsizing retirement,2025-07-30T14:23:01,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
Monitor,0.0,0.95,4 Ways To Downsize After Retirement - Forbes,"https://www.forbes.com/sites/jannfreed/2025/07/28/4-ways-to-downsize-after-retirement/#:~:text=After%20people%20retire%2C%20they%20often,have%20to%20do%20it%20later.",forbes.com,1,['Downsizing retirement'],Excellent topic alignment covering practical downsizing advice but absence of related queries indicates minimal trending search activity.,Excellent topic alignment covering practical downsizing advice but absence of related queries indicates minimal trending search activity.,"After people retire, they often think about downsizing—moving to a smaller place. This involves disposing, selling, or donating household items. Since accumulation can be a burden, engaging in downsizing requires us to do the work so that others (often adult children) don't have to do it later.",Downsizing retirement,2025-07-30T14:23:01,B2C,"retirement, finance","JSON parsing failed, using fallback values","Invalid response, defaulted to B2C"
