Village_id,lp_no,extent_ac,POINT_ID,EASTING-X,NORTHING-Y,LATITUDE,LONGITUDE
10111,2,206.49,1,340751.55,1590485.86,14.382015,79.523023
10111,2,206.49,2,340869.12,1590228.96,14.3797,79.524128
10111,2,206.49,3,341040.17,1589791.59,14.375757,79.52574
10111,2,206.49,4,341109.18,1589488.36,14.37302,79.526398
10111,2,206.49,5,341165.05,1589261.82,14.370975,79.52693
10111,2,206.49,6,341195.71,1588931.27,14.367989,79.527234
10111,2,206.49,7,341135.87,1588905.35,14.367752,79.52668
10111,2,206.49,8,341117.27,1588879.77,14.367519,79.526509
10111,2,206.49,9,341008.75,1588930.93,14.367975,79.5255
10111,2,206.49,10,340900.23,1588982.09,14.368432,79.524491
10111,2,206.49,11,340803.33,1589010.77,14.368685,79.523591
10111,2,206.49,12,340712.85,1589038.35,14.368929,79.52275
10111,2,206.49,13,340666.04,1589167.07,14.37009,79.522308
10111,2,206.49,14,340562.26,1589764.99,14.375488,79.521311
10111,2,206.49,15,340294.52,1590408.29,14.381288,79.51879
10111,2,206.49,16,340386,1590815.22,14.384971,79.519614
10111,2,206.49,17,340393.17,1590810.7,14.38493,79.519681
10111,2,206.49,18,340395.02,1590809.49,14.38492,79.519698
10111,2,206.49,19,340396.87,1590808.17,14.384908,79.519715
10111,2,206.49,20,340399.87,1590805.92,14.384888,79.519743
10111,2,206.49,21,340415.35,1590796.94,14.384807,79.519887
10111,2,206.49,22,340449.04,1590776.99,14.384629,79.520201
10111,2,206.49,23,340528.85,1590733.89,14.384244,79.520943