Analysis_Type,Polygon_Name,Center_Lat,Center_Lon,Google_Maps_URL,Google_Earth_URL,Google_Maps_Satellite_URL,Source_File
"NDVI Vegetation Analysis","NDVI Square 1",14.380813,79.521782,"https://www.google.com/maps/@14.380812655722655,79.52178175661534,19z","https://earth.google.com/web/@14.380812655722655,79.52178175661534,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.380812655722655,79.52178175661534,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 3",14.380813,79.522964,"https://www.google.com/maps/@14.380812655722655,79.52296389317215,19z","https://earth.google.com/web/@14.380812655722655,79.52296389317215,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.380812655722655,79.52296389317215,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 4",14.380813,79.523555,"https://www.google.com/maps/@14.380812655722655,79.52355496145056,19z","https://earth.google.com/web/@14.380812655722655,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.380812655722655,79.52355496145056,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 5",14.380813,79.524146,"https://www.google.com/maps/@14.380812655722655,79.52414602972897,19z","https://earth.google.com/web/@14.380812655722655,79.52414602972897,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.380812655722655,79.52414602972897,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 8",14.381385,79.522964,"https://www.google.com/maps/@14.381385200616629,79.52296389317215,19z","https://earth.google.com/web/@14.381385200616629,79.52296389317215,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52296389317215,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 13",14.381958,79.522964,"https://www.google.com/maps/@14.381957745510604,79.52296389317215,19z","https://earth.google.com/web/@14.381957745510604,79.52296389317215,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52296389317215,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 14",14.381958,79.523555,"https://www.google.com/maps/@14.381957745510604,79.52355496145056,19z","https://earth.google.com/web/@14.381957745510604,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52355496145056,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDVI Vegetation Analysis","NDVI Square 19",14.382530,79.523555,"https://www.google.com/maps/@14.382530290404578,79.52355496145056,19z","https://earth.google.com/web/@14.382530290404578,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.382530290404578,79.52355496145056,19z/data=!3m1!1e3","NDVI_Vegetation_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 5",14.380813,79.524146,"https://www.google.com/maps/@14.380812655722655,79.52414602972897,19z","https://earth.google.com/web/@14.380812655722655,79.52414602972897,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.380812655722655,79.52414602972897,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 6",14.381385,79.521782,"https://www.google.com/maps/@14.381385200616629,79.52178175661534,19z","https://earth.google.com/web/@14.381385200616629,79.52178175661534,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52178175661534,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 8",14.381385,79.522964,"https://www.google.com/maps/@14.381385200616629,79.52296389317215,19z","https://earth.google.com/web/@14.381385200616629,79.52296389317215,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52296389317215,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 9",14.381385,79.523555,"https://www.google.com/maps/@14.381385200616629,79.52355496145056,19z","https://earth.google.com/web/@14.381385200616629,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52355496145056,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 11",14.381958,79.521782,"https://www.google.com/maps/@14.381957745510604,79.52178175661534,19z","https://earth.google.com/web/@14.381957745510604,79.52178175661534,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52178175661534,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 15",14.381958,79.524146,"https://www.google.com/maps/@14.381957745510604,79.52414602972897,19z","https://earth.google.com/web/@14.381957745510604,79.52414602972897,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52414602972897,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 16",14.382530,79.521782,"https://www.google.com/maps/@14.382530290404578,79.52178175661534,19z","https://earth.google.com/web/@14.382530290404578,79.52178175661534,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.382530290404578,79.52178175661534,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDBI BuiltUp Analysis","NDBI Square 19",14.382530,79.523555,"https://www.google.com/maps/@14.382530290404578,79.52355496145056,19z","https://earth.google.com/web/@14.382530290404578,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.382530290404578,79.52355496145056,19z/data=!3m1!1e3","NDBI_BuiltUp_Analysis.kml"
"NDWI Water Analysis","NDWI Square 7",14.381385,79.522373,"https://www.google.com/maps/@14.381385200616629,79.52237282489375,19z","https://earth.google.com/web/@14.381385200616629,79.52237282489375,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52237282489375,19z/data=!3m1!1e3","NDWI_Water_Analysis.kml"
"NDWI Water Analysis","NDWI Square 9",14.381385,79.523555,"https://www.google.com/maps/@14.381385200616629,79.52355496145056,19z","https://earth.google.com/web/@14.381385200616629,79.52355496145056,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381385200616629,79.52355496145056,19z/data=!3m1!1e3","NDWI_Water_Analysis.kml"
"NDWI Water Analysis","NDWI Square 12",14.381958,79.522373,"https://www.google.com/maps/@14.381957745510604,79.52237282489375,19z","https://earth.google.com/web/@14.381957745510604,79.52237282489375,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52237282489375,19z/data=!3m1!1e3","NDWI_Water_Analysis.kml"
"NDWI Water Analysis","NDWI Square 15",14.381958,79.524146,"https://www.google.com/maps/@14.381957745510604,79.52414602972897,19z","https://earth.google.com/web/@14.381957745510604,79.52414602972897,1000a,35y,0h,0t,0r","https://www.google.com/maps/@14.381957745510604,79.52414602972897,19z/data=!3m1!1e3","NDWI_Water_Analysis.kml"
