test_id,plot_no,baseline_date,target_date,ndvi_baseline,ndbi_baseline,ndwi_baseline,ndvi_target,ndbi_target,ndwi_target,delta_ndvi,delta_ndbi,delta_ndwi,vegetation_rule,construction_rule,flooding_rule,vegetation_inference,construction_inference,flood_inference
1,97,2024-01-31,2024-03-31,0.22,0.59,0.17,0.18,0.66,0.21,0.04000000000000001,-0.07000000000000006,-0.03999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Decreased,No Change
2,76,2024-03-01,2024-01-01,1.0,0.0,0.63,0.87,0.04,0.39,0.13,-0.04,0.24,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,Moderate Change - Increased
3,48,2024-03-01,2024-01-01,0.49,0.23,0.03,0.22,0.32,0.21,0.27,-0.09,-0.18,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
4,78,2024-03-01,2024-01-01,1.0,0.0,0.39,0.73,0.03,0.5,0.27,-0.03,-0.10999999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,No Change,Slight Change - Decreased
5,56,2024-03-31,2024-01-31,0.0,0.4,0.57,0.0,0.37,0.62,0.0,0.030000000000000027,-0.050000000000000044,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
6,3,2024-01-31,2024-01-01,0.67,0.28,0.37,0.53,0.06,0.51,0.14,0.22000000000000003,-0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Moderate Change - Increased,Slight Change - Decreased
7,96,2024-03-01,2024-01-31,0.73,0.01,0.15,0.72,0.0,0.17,0.010000000000000009,0.01,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
8,18,2024-03-31,2024-01-31,1.0,0.01,0.24,1.0,0.0,0.32,0.0,0.01,-0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
9,30,2024-03-31,2024-01-31,0.76,0.09,0.12,0.9,0.13,0.14,-0.14,-0.04000000000000001,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
10,98,2024-03-01,2024-03-31,0.17,0.05,0.61,0.17,0.03,0.61,0.0,0.020000000000000004,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
11,12,2024-01-31,2024-03-01,0.85,0.0,0.42,0.78,0.0,0.5,0.06999999999999995,0.0,-0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,Slight Change - Decreased
12,18,2024-03-01,2024-01-31,1.0,0.0,0.18,1.0,0.0,0.32,0.0,0.0,-0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
13,54,2024-01-01,2024-01-31,0.3,0.43,0.15,0.56,0.28,0.0,-0.26000000000000006,0.14999999999999997,0.15,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Increased,Moderate Change - Increased
14,79,2024-01-31,2024-01-01,0.41,0.27,0.38,0.69,0.0,0.44,-0.27999999999999997,0.27,-0.06,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Moderate Change - Increased,Slight Change - Decreased
15,7,2024-03-31,2024-03-01,0.36,0.4,0.34,0.46,0.49,0.33,-0.10000000000000003,-0.08999999999999997,0.010000000000000009,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Slight Change - Decreased,No Change
16,74,2024-01-01,2024-03-31,0.9,0.07,0.46,0.57,0.0,0.9,0.33000000000000007,0.07,-0.44,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Increased,Deep Change - Decreased
17,42,2024-03-01,2024-01-31,0.42,0.18,0.09,0.57,0.19,0.06,-0.14999999999999997,-0.010000000000000009,0.03,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
18,31,2024-01-01,2024-01-01,0.47,0.11,0.36,0.47,0.11,0.36,0.0,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
19,34,2024-01-01,2024-03-31,0.44,0.19,0.11,0.57,0.1,0.37,-0.12999999999999995,0.09,-0.26,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Slight Change - Increased,Moderate Change - Decreased
20,9,2024-03-01,2024-01-31,0.8,0.33,0.27,0.73,0.34,0.24,0.07000000000000006,-0.010000000000000009,0.030000000000000027,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,No Change
21,74,2024-03-31,2024-01-01,0.57,0.0,0.9,0.9,0.07,0.46,-0.33000000000000007,-0.07,0.44,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Decreased,Slight Change - Decreased,Deep Change - Increased
22,21,2024-03-01,2024-03-31,0.87,0.33,0.3,0.78,0.42,0.28,0.08999999999999997,-0.08999999999999997,0.019999999999999962,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Slight Change - Decreased,No Change
23,78,2024-03-31,2024-01-31,1.0,0.0,0.29,1.0,0.0,0.4,0.0,0.0,-0.11000000000000004,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
24,79,2024-03-31,2024-01-31,0.44,0.35,0.24,0.41,0.27,0.38,0.030000000000000027,0.07999999999999996,-0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Increased,Slight Change - Decreased
25,40,2024-01-01,2024-03-01,0.63,0.24,0.21,0.85,0.1,0.53,-0.21999999999999997,0.13999999999999999,-0.32000000000000006,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Increased,Deep Change - Decreased
26,63,2024-03-01,2024-01-31,0.89,0.34,0.33,0.96,0.26,0.38,-0.06999999999999995,0.08000000000000002,-0.04999999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Slight Change - Increased,No Change
27,68,2024-03-01,2024-03-31,0.58,0.0,0.72,0.62,0.0,0.89,-0.040000000000000036,0.0,-0.17000000000000004,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Moderate Change - Decreased
28,88,2024-01-31,2024-03-31,0.71,0.07,0.51,0.66,0.12,0.5,0.04999999999999993,-0.04999999999999999,0.010000000000000009,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
29,91,2024-01-31,2024-01-01,0.2,0.56,0.2,0.44,0.08,0.39,-0.24,0.48000000000000004,-0.19,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Deep Change - Increased,Moderate Change - Decreased
30,21,2024-01-31,2024-03-01,0.78,0.4,0.32,0.87,0.33,0.3,-0.08999999999999997,0.07,0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Slight Change - Increased,No Change
31,75,2024-03-31,2024-01-31,0.84,0.26,0.25,0.92,0.29,0.2,-0.08000000000000007,-0.02999999999999997,0.04999999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
32,16,2024-03-31,2024-01-01,0.71,0.0,0.81,0.56,0.09,0.55,0.1499999999999999,-0.09,0.26,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Slight Change - Decreased,Moderate Change - Increased
33,3,2024-01-01,2024-03-31,0.53,0.06,0.51,0.66,0.29,0.38,-0.13,-0.22999999999999998,0.13,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
34,45,2024-01-01,2024-03-31,0.36,0.54,0.22,0.53,0.74,0.16,-0.17000000000000004,-0.19999999999999996,0.06,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
35,73,2024-01-01,2024-03-01,0.68,0.04,0.28,0.46,0.42,0.19,0.22000000000000003,-0.38,0.09000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Deep Change - Decreased,Slight Change - Increased
36,36,2024-03-31,2024-01-01,0.96,0.0,0.04,0.52,0.1,0.28,0.43999999999999995,-0.1,-0.24000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
37,51,2024-03-31,2024-01-01,0.48,0.57,0.18,0.31,0.35,0.27,0.16999999999999998,0.21999999999999997,-0.09000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Moderate Change - Increased,Slight Change - Decreased
38,12,2024-03-01,2024-03-31,0.78,0.0,0.5,1.0,0.0,0.4,-0.21999999999999997,0.0,0.09999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,No Change,Slight Change - Increased
39,56,2024-03-31,2024-01-31,0.0,0.4,0.57,0.0,0.37,0.62,0.0,0.030000000000000027,-0.050000000000000044,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
40,20,2024-01-31,2024-01-01,0.26,0.0,0.94,0.58,0.07,0.51,-0.31999999999999995,-0.07,0.42999999999999994,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Decreased,Slight Change - Decreased,Deep Change - Increased
41,96,2024-01-01,2024-03-31,0.36,0.08,0.4,0.58,0.0,0.17,-0.21999999999999997,0.08,0.23,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Increased,Moderate Change - Increased
42,57,2024-03-01,2024-03-31,0.3,0.85,0.0,0.33,0.85,0.0,-0.030000000000000027,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
43,64,2024-03-01,2024-03-31,1.0,0.0,0.56,1.0,0.0,0.62,0.0,0.0,-0.05999999999999994,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
44,40,2024-03-31,2024-01-01,0.76,0.12,0.43,0.63,0.24,0.21,0.13,-0.12,0.22,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Slight Change - Decreased,Moderate Change - Increased
45,28,2024-03-31,2024-03-01,0.79,0.0,0.42,0.69,0.04,0.44,0.10000000000000009,-0.04,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,No Change
46,7,2024-03-31,2024-01-31,0.36,0.4,0.34,0.41,0.49,0.3,-0.04999999999999999,-0.08999999999999997,0.040000000000000036,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Decreased,No Change
47,35,2024-01-01,2024-03-31,0.5,0.17,0.14,0.27,0.12,0.0,0.22999999999999998,0.05000000000000002,0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Slight Change - Increased,Slight Change - Increased
48,18,2024-01-31,2024-03-01,1.0,0.0,0.32,1.0,0.0,0.18,0.0,0.0,0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
49,91,2024-01-31,2024-03-31,0.2,0.56,0.2,0.24,0.39,0.32,-0.03999999999999998,0.17000000000000004,-0.12,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Moderate Change - Increased,Slight Change - Decreased
