test_id,plot_no,baseline_date,target_date,ndvi_baseline,ndbi_baseline,ndwi_baseline,ndvi_target,ndbi_target,ndwi_target,delta_ndvi,delta_ndbi,delta_ndwi,vegetation_rule,construction_rule,flooding_rule,vegetation_inference,construction_inference,flood_inference
50,29,2024-03-31,2024-01-01,0.42,0.41,0.53,0.56,0.15,0.17,-0.14000000000000007,0.26,0.36,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Increased,Deep Change - Increased
51,35,2024-03-01,2024-01-01,0.71,0.43,0.48,0.5,0.17,0.14,0.20999999999999996,0.26,0.33999999999999997,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Moderate Change - Increased,Deep Change - Increased
52,59,2024-03-31,2024-03-01,0.32,0.49,0.38,0.29,0.4,0.4,0.030000000000000027,0.08999999999999997,-0.020000000000000018,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Increased,No Change
53,42,2024-03-31,2024-01-01,0.45,0.24,0.01,0.13,0.36,0.21,0.32,-0.12,-0.19999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
54,84,2024-01-31,2024-01-01,0.73,0.0,0.05,0.48,0.05,0.26,0.25,-0.05,-0.21000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
55,58,2024-03-31,2024-01-31,0.51,0.22,0.37,0.53,0.23,0.41,-0.020000000000000018,-0.010000000000000009,-0.03999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
56,65,2024-01-31,2024-03-31,0.57,0.16,0.56,0.52,0.06,0.24,0.04999999999999993,0.1,0.32000000000000006,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Increased,Deep Change - Increased
57,94,2024-03-31,2024-03-01,0.8,0.0,0.7,0.77,0.04,0.61,0.030000000000000027,-0.04,0.08999999999999997,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
58,53,2024-01-31,2024-03-31,0.02,0.83,0.22,0.16,0.69,0.27,-0.14,0.14,-0.05000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Slight Change - Increased,Slight Change - Decreased
59,4,2024-03-31,2024-01-01,0.68,0.0,0.84,0.54,0.06,0.56,0.14,-0.06,0.2799999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Slight Change - Decreased,Moderate Change - Increased
60,41,2024-01-01,2024-03-01,0.31,0.35,0.21,0.36,0.18,0.31,-0.04999999999999999,0.16999999999999998,-0.1,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Moderate Change - Increased,Slight Change - Decreased
61,20,2024-01-01,2024-01-31,0.58,0.07,0.51,0.26,0.0,0.94,0.31999999999999995,0.07,-0.42999999999999994,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Increased,Deep Change - Decreased
62,90,2024-01-31,2024-01-01,0.9,0.05,0.05,0.53,0.1,0.23,0.37,-0.05,-0.18,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Decreased,Moderate Change - Decreased
63,6,2024-03-31,2024-01-01,0.89,0.0,0.36,0.63,0.04,0.44,0.26,-0.04,-0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,No Change,Slight Change - Decreased
64,37,2024-01-31,2024-01-01,0.37,0.58,0.23,0.53,0.25,0.34,-0.16000000000000003,0.32999999999999996,-0.11000000000000001,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Deep Change - Increased,Slight Change - Decreased
65,2,2024-03-01,2024-03-31,0.45,0.0,0.85,0.43,0.0,0.85,0.020000000000000018,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
66,11,2024-01-01,2024-03-01,0.51,0.05,0.39,0.33,0.0,0.69,0.18,0.05,-0.29999999999999993,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Slight Change - Increased,Moderate Change - Decreased
67,77,2024-01-31,2024-03-31,0.83,0.0,0.31,1.0,0.3,0.31,-0.17000000000000004,-0.3,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Deep Change - Decreased,No Change
68,87,2024-03-31,2024-01-31,0.8,0.26,0.2,0.72,0.22,0.27,0.08000000000000007,0.04000000000000001,-0.07,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,Slight Change - Decreased
69,85,2024-01-31,2024-03-31,0.1,0.66,0.19,0.13,0.62,0.24,-0.03,0.040000000000000036,-0.04999999999999999,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
70,18,2024-01-31,2024-03-01,1.0,0.0,0.32,1.0,0.0,0.18,0.0,0.0,0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
71,14,2024-03-31,2024-01-31,0.35,0.0,0.71,0.37,0.0,0.9,-0.020000000000000018,0.0,-0.19000000000000006,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Moderate Change - Decreased
72,21,2024-03-01,2024-01-01,0.87,0.33,0.3,0.65,0.15,0.4,0.21999999999999997,0.18000000000000002,-0.10000000000000003,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Increased,Moderate Change - Increased,Slight Change - Decreased
73,21,2024-01-01,2024-01-31,0.65,0.15,0.4,0.78,0.4,0.32,-0.13,-0.25,0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
74,18,2024-01-01,2024-03-01,0.73,0.07,0.4,1.0,0.0,0.18,-0.27,0.07,0.22000000000000003,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Increased,Moderate Change - Increased
75,15,2024-01-31,2024-03-01,0.99,0.21,0.47,0.94,0.32,0.48,0.050000000000000044,-0.11000000000000001,-0.010000000000000009,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Slight Change - Decreased,No Change
76,8,2024-01-31,2024-01-01,0.38,0.0,0.79,0.65,0.01,0.43,-0.27,-0.01,0.36000000000000004,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,No Change,Deep Change - Increased
77,3,2024-01-01,2024-03-01,0.53,0.06,0.51,0.66,0.35,0.38,-0.13,-0.29,0.13,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
78,80,2024-03-31,2024-03-01,0.49,0.01,0.55,0.38,0.0,0.63,0.10999999999999999,0.01,-0.07999999999999996,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,Slight Change - Decreased
79,63,2024-03-01,2024-03-31,0.89,0.34,0.33,0.85,0.33,0.3,0.040000000000000036,0.010000000000000009,0.030000000000000027,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
80,48,2024-03-31,2024-01-01,0.58,0.23,0.09,0.22,0.32,0.21,0.36,-0.09,-0.12,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Slight Change - Decreased,Slight Change - Decreased
81,35,2024-03-01,2024-01-31,0.71,0.43,0.48,0.56,0.0,0.11,0.1499999999999999,0.43,0.37,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Deep Change - Increased,Deep Change - Increased
82,66,2024-01-31,2024-03-31,0.96,0.0,0.09,1.0,0.0,0.17,-0.040000000000000036,0.0,-0.08000000000000002,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
83,40,2024-01-31,2024-03-31,0.83,0.16,0.43,0.76,0.12,0.43,0.06999999999999995,0.04000000000000001,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,No Change,No Change
84,79,2024-01-31,2024-01-01,0.41,0.27,0.38,0.69,0.0,0.44,-0.27999999999999997,0.27,-0.06,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Moderate Change - Increased,Slight Change - Decreased
85,44,2024-01-31,2024-01-01,0.13,0.28,0.74,0.36,0.36,0.26,-0.22999999999999998,-0.07999999999999996,0.48,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Decreased,Deep Change - Increased
86,52,2024-03-31,2024-03-01,0.36,0.38,0.53,0.32,0.33,0.41,0.03999999999999998,0.04999999999999999,0.12000000000000005,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
87,47,2024-01-01,2024-03-31,0.14,0.58,0.25,0.39,0.56,0.49,-0.25,0.019999999999999907,-0.24,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,No Change,Moderate Change - Decreased
88,50,2024-01-31,2024-01-01,0.0,0.14,0.62,0.34,0.33,0.21,-0.34,-0.19,0.41000000000000003,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Decreased,Moderate Change - Decreased,Deep Change - Increased
89,38,2024-03-31,2024-01-01,0.33,0.04,0.55,0.59,0.13,0.11,-0.25999999999999995,-0.09,0.44000000000000006,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Slight Change - Decreased,Deep Change - Increased
90,62,2024-03-01,2024-03-31,0.35,0.0,0.94,0.31,0.0,0.84,0.03999999999999998,0.0,0.09999999999999998,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Increased
91,9,2024-01-01,2024-01-01,0.57,0.14,0.36,0.57,0.14,0.36,0.0,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
92,3,2024-01-01,2024-01-31,0.53,0.06,0.51,0.67,0.28,0.37,-0.14,-0.22000000000000003,0.14,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,Moderate Change - Decreased,Slight Change - Increased
93,32,2024-03-01,2024-01-31,0.28,0.04,0.5,0.29,0.1,0.72,-0.009999999999999953,-0.060000000000000005,-0.21999999999999997,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Decreased,Moderate Change - Decreased
94,13,2024-01-01,2024-03-01,0.7,0.15,0.51,0.38,0.49,0.39,0.31999999999999995,-0.33999999999999997,0.12,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Deep Change - Increased,Deep Change - Decreased,Slight Change - Increased
95,23,2024-01-31,2024-01-31,0.89,0.22,0.22,0.89,0.22,0.22,0.0,0.0,0.0,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,No Change
96,81,2024-03-31,2024-01-31,0.58,0.28,0.13,0.63,0.28,0.1,-0.050000000000000044,0.0,0.03,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Decreased,No Change,No Change
97,49,2024-03-01,2024-03-31,0.0,0.9,0.08,0.0,0.92,0.13,0.0,-0.020000000000000018,-0.05,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,No Change,Slight Change - Decreased
98,79,2024-03-31,2024-01-01,0.44,0.35,0.24,0.69,0.0,0.44,-0.24999999999999994,0.35,-0.2,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Moderate Change - Decreased,Deep Change - Increased,Moderate Change - Decreased
99,35,2024-01-31,2024-01-01,0.56,0.0,0.11,0.5,0.17,0.14,0.06000000000000005,-0.17,-0.030000000000000013,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,Slight Change - Increased,Moderate Change - Decreased,No Change
100,3,2024-03-01,2024-01-31,0.66,0.35,0.38,0.67,0.28,0.37,-0.010000000000000009,0.06999999999999995,0.010000000000000009,dvi > 0.01 OR (dbi < 0.10 AND dwi < 0.10),dvi < -0.01 OR dbi > 0.05,dvi < -0.01 OR dwi > 0.05,No Change,Slight Change - Increased,No Change
